episode_rewards,episode_lengths,success_rates,objective_values
-78371.54951061119,106,1.0,0.0
-114257.58124052477,115,0.9926470588235294,0.0
-106199.55554073489,120,1.0,0.0
-90224.96064491669,118,1.0,0.0
-96443.77049069773,103,1.0,0.0
-118263.2322977656,127,0.9797297297297297,0.0
-116382.73977793418,128,0.9701492537313433,0.0
-134201.09034039837,129,0.993103448275862,0.0
-123572.91663494094,131,0.9473684210526315,0.0
-100351.31115071931,130,0.9607843137254902,0.0
-103151.60053918314,119,0.9935064935064936,0.0
-103213.99378585257,115,1.0,0.0
-86083.40588279131,119,1.0,0.0
-109183.20841069955,121,0.9871794871794872,0.0
-105171.46578698867,143,0.967391304347826,0.0
-84080.06197495165,125,1.0,0.0
-88352.34645927828,103,1.0,0.0
-91044.24022673402,140,0.983957219251337,0.0
-135332.4316494507,141,0.971830985915493,0.0
-76116.64952649528,120,0.9880239520958084,0.0
-113340.16249987335,139,0.9482758620689655,0.0
-94279.06679823656,122,0.9924242424242424,0.0
-94932.74401448834,131,0.98989898989899,0.0
-69154.03902379902,109,1.0,0.0
-90105.9117170599,133,0.9882352941176471,0.0
-84198.52723120058,117,0.9931506849315068,0.0
-112230.0017629871,121,0.9929078014184397,0.0
-88213.7413325776,115,1.0,0.0
-79100.53968466751,111,1.0,0.0
-76202.388565202,118,0.9931506849315068,0.0
-91268.50259159456,112,1.0,0.0
-82066.40496077327,125,0.9940828402366864,0.0
-61115.249920447546,116,1.0,0.0
-82233.47390049584,108,1.0,0.0
-70333.95103785332,105,1.0,0.0
-94129.42835591725,124,0.9825581395348837,0.0
-71988.2924815108,138,0.9846153846153847,0.0
-44874.04697869247,130,1.0,0.0
-71034.1234116546,121,0.9942857142857143,0.0
-72125.00152766041,120,0.9936708860759493,0.0
-68018.6837634077,124,0.9798994974874372,0.0
-68008.68004060019,121,1.0,0.0
-67151.01709006826,121,0.9935483870967742,0.0
-68034.9770032556,118,1.0,0.0
-105068.92872813085,137,0.9833333333333333,0.0
-94177.54092743954,125,0.9814814814814815,0.0
-80093.55953113436,124,0.9939024390243902,0.0
-59969.41342989788,134,0.9761904761904762,0.0
-84904.50329476634,138,0.9857142857142858,0.0
-57021.802943168586,108,1.0,0.0
-67000.03889943064,122,0.9944444444444445,0.0
-86965.74248250683,125,0.9946524064171123,0.0
-53936.69774966172,120,1.0,0.0
-67965.30981227753,128,1.0,0.0
-52900.58807212144,122,1.0,0.0
-65857.62611785816,126,0.9951456310679612,0.0
-49174.5554560864,105,1.0,0.0
-62021.09965073973,115,1.0,0.0
-70022.83556982513,126,0.9841269841269841,0.0
-57198.93622117317,110,1.0,0.0
-63017.63230650957,117,1.0,0.0
-59990.87709092355,123,0.9945054945054945,0.0
-66040.50570324257,126,0.9792746113989638,0.0
-58155.09565491413,109,1.0,0.0
-69955.8836593788,129,1.0,0.0
-56983.62028060272,128,0.9945652173913043,0.0
-33072.75705646371,102,1.0,0.0
-68897.84503041403,124,0.9857142857142858,0.0
-55797.47745786767,129,0.990990990990991,0.0
-71857.84259045777,149,0.9745762711864406,0.0
-44071.635472436305,111,1.0,0.0
-44129.3907797283,104,1.0,0.0
-60736.8682167088,135,0.9913793103448276,0.0
-65016.168771014,121,1.0,0.0
-66815.82807782202,140,0.9828326180257511,0.0
-50048.683695856744,115,0.9941860465116279,0.0
-50013.5156761084,113,1.0,0.0
-43102.55728271262,107,1.0,0.0
-54924.423457944475,119,0.99,0.0
-33056.04071410653,111,1.0,0.0
